Word		No. of occurrences
----------------------------------
-		1602
-boset		3
-kabod		3
a		74217
a-li		42
a-mzdu-najaty		3
aadaj		3
aadjas		3
aaf		3
aafa		3
aaj		3
aaka		24
aakan		3
aakanovcu		3
aakat		3
aakatanova		3
aakatanuv		6
aakatany		3
aakatsky		3
aakoba		3
aakovu		3
aaku		15
aakuv		6
aaky		18
aal		39
aal-chanan		15
aal-chasoru		3
aal-chermonu		6
aal-gadu		9
aal-hamonu		3
aal-meon		3
aal-meonu		6
aal-peorem		15
aal-peorovi		3
aal-perasim		6
aal-perasimu		6
aal-salisi		3
aal-sefonem		6
aal-sefonu		3
aal-tamare		3
aal-zebuba		9
aal-zebubovi		3
aala		33
aalabin		3
aalat		9
aalat-beer		3
aalbimu		6
aalbonsky		6
aale		9
aalem		9
aalim		3
aalimu		3
aalis		3
aaljas		3
aalova		24
aalove		6
aalovi		60
aalovo		3
aalovu		6
aalovy		15
aalovych		6
aalovym		6
aalske		3
aalu		3
aaluv		24
aaly		6
aam		3
aama		15
aaman		33
aamana		9
aamanem		3
aamanove		3
aamanovo		3
aamatsky		12
aamjasem		3
aamses		3
aana		18
aanajimu		3
aanak		9
aanaku		6
aananimu		3
aananu		3
aanat-silu		3
aanou		6
aanovi		3
aanuv		3
aany		6
aara		3
aaraj		6
aarajim		3
aarajimu		6
aaran		3
aarat		3
aare		6
aaresjas		3
aarini		3
aarskych		3
aaru		6
aas		3
aasaj		3
aase		6
aasejas		33
aasejase		24
aasejasem		3
aasejasova		3
aasejasovu		6
aasgaze		3
aasiel		6
aason		6
aasona		3
aasskych		6
aavan		6
aazanjas		6
aazanjase		6
aazer		3
aaziela		3
aazijase		6
aazjas		3
aazjase		3
aba		3
abad		21
abada		3
abaj		3
abaj-salaj		3
abajuv		3
abal		21
abala		9
abalove		3
abalovi		30
abalovu		3
aban		93
abana		24
abanem		6
abanova		3
abanovi		36
abanovy		3
abanovym		3
abaotovi		6
abatu		3
abbatha		3
abbuni		3
abdi		9
abdiel		3
abdieluv		3
abdiho		9
abe		18
abealova		3
abecede		3
abecha		3
abel		12
abelmecholskemu		3
aber		6
abera		3
aberat		3
aberatu		3
abere		3
aberme		3
aberte		3
abese		33
abesetu		3
abesi		15
abesova		3
abessti		6
abesuv		6
abetaj		9
abezpecil		3
abi		3
abib		3
abibu		15
abiezerske		6
abijela		3
abijeli		6
abijes		3
abiji		3
abijme		3
abijte		3
abil		9
abila		3
abili		6
abimelek		30
abimeleka		3
abimelekem		3
abimelekove		3
abimelekovi		15
abin		6
abina		9
abinem		6
abinova		3
abinovi		3
abit		3
abita		6
abitim		3
abito		3
abizela		3
abne		3
abneel		3
abneelu		3
aboci		3
abocuje		3
abok		6
aboku		15
abon		3
abor		21
abora		3
aborem		6
aborici		3
aborili		6
aboriste		3
aboru		12
abot		21
abota		24
abotem		9
abotove		3
abotovi		3
abotovu		3
abral		6
abrali		3
abredli		3
abriel		9
abrieli		3
abrimona		3
abrousim-li		3
abseel		3
abseelu		6
abta		6
abteka		6
abu		12
abud		6
abujte		3
abul		3
abulon		39
abulona		15
abulone		3
abulonova		27
abulonovci		6
abulonovcu		18
abulonovcum		3
abulonove		3
abulonovi		15
abulonsky		6
abulonu		3
abulonuv		3
abulu		3
aby		6681
abych		918
abychom		369
abydleli		3
abylon		81
abylona		237
abylone		39
abylonem		6
abylonske		6
abylonsky		18
abylonskym		3
abylonsti		3
abylonu		33
abys		606
abyste		798
abyt		3
acal		9
acali		9
acalo		3
acatek		3
acek		3
acekali		3
acerpam		3
ach		6
achab		12
achabe		3
achabu		6
achaby		3
achajskych		3
achalatu		6
achale		6
achalielu		6
achama		9
achamanim		3
achan		3
achana		3
achanajim		9
achanajimu		30
acharaj		3
acharajim		3
acharias		15
achariase		9
achariasi		3
achariasova		6
achariasovu		3
achariasuv		3
acharjas		48
acharjasovi		12
acharovi		6
acharumsky		3
achas		12
achase		3
achasiel		3
achasimu		3
achasove		3
achasovi		6
achasovu		6
achasuv		3
achat		54
achat-moab		3
achat-moabovych		12
achat-moabuv		3
achata		12
achatu		6
achavimsky		3
achaziel		12
achaziot		6
achbi		3
achdiel		3
achdoa		3
achee		3
achel		114
achelina		12
achelini		6
acheliny		6
acheus		6
achiezeluv		3
achiramska		3
achkemonsky		3
achla		12
achleel		3
achleela		3
achli		24
achliho		12
achlon		6
achlonovi		3
achlonovu		3
achlu		3
achmaj		3
achmas		3
achmiho		3
achnou		3
acholovi		3
achor		15
achora		18
achorova		9
achorovi		9
achoruv		6
achoval		9
achovali		9
achovam		3
achovan		3
achovate		3
achovate-li		3
achovej		18
achpanchesu		21
achpenes		3
achpenesy		6
achraj		3
achran		15
achrana		3
achrance		3
achrani		6
achranil		6
achranim		9
achrante		6
achrea		3
achseel		3
achseela		3
achsejasova		3
achson		18
achsona		9
achsonovu		3
achtim-chodsi		3
achtite		3
achumeta		3
achurimu		15
achvatil		3
achvatilo		3
achvatily		3
achvela		3
achyta		3
achzejas		3
achzery		3
achziela		3
aci		3
acina		3
acino		3
ackoli		147
ackoliv		36
acnes-li		3
acnete		3
acni		9
acnu		3
ada		33
adab		51
adaba		3
adabovi		3
adabovych		3
adad		36
adad-ezer		9
adad-ezera		12
adad-ezerem		6
adad-ezerova		6
adad-ezerovi		21
adad-ezerovo		3
adad-ezerovych		6
adad-rimona		3
adadovi		3
adaj		9
adaje		3
adali		6
adam		3
adame		3
adar		9
adarmo		21
adaru		21
adasu		3
adba		3
adce		3
ade		6
adeas		3
adease		3
adej		24
adejde		3
adeje		3
adeji		18
adem		3
ademskemu		3
ademsky		3
ades		9
ades-barneje		24
ades-barneji		6
adesat		3
adesaty		6
adese		15
adesem		6
adesi		21
adherne		3
adhery		3
adi		21
adidlo		6
adiel		3
adim		3
adit		3
adiuv		6
adka		3
adl		30
adla		15
adla-li		3
adli		12
adlych		3
admana		3
admany		3
admene		6
admiel		15
admielovych		6
admieluv		3
admiru		3
admoncu		3
admor		6
adna		30
adne		15
adneho		6
adnes		3
adnete		12
adni		3
adnimu		6
adnou		21
adny		48
adnym		3
adoji		3
adok		66
adoka		42
adokem		6
adokova		9
adokovci		6
adokovi		15
adokovych		3
adokovymi		3
adokuv		15
adon		3
adonovi		6
adoram		3
adorama		12
adost		3
adostive		3
adostivost		3
adostne		9
adostnou		3
adostny		3
adostnym		3
adouci		3
adova		27
adovat		3
adovce		6
adovci		60
adovcu		27
adovcum		33
adove		6
adovi		33
adovu		3
adrak		15
adraka		12
adrakovi		6
adrakovu		3
adraku		6
adrakuv		3
adrzte		3
adskeho		3
adsky		3
adto		18
adu		3
adua		3
aduceove		3
aduj		15
aduje		3
adujeme		3
adujete		3
adujme		3
adujte		27
adul		3
adulamskem		3
adulamskemu		3
adulamsky		3
adulamskym		3
aduovych		3
adutec		3
aduu		3
aduv		3
ady		33
aebes		12
aeda		3
aedan		9
aedanova		3
aedanovi		6
aedanovych		3
aekan		3
ael		12
aelam		6
aelama		6
aelinych		3
aelovi		3
aeluv		3
aely		3
aema		6
aemovi		6
aemy		3
aenaj		3
aenak		3
aera		3
aerea		3
aeru		3
aesa		33
aesaj		3
aesi		6
aesou		12
aesovi		15
aesovych		3
aesovym		3
aesu		3
aesuv		9
aeufrati		36
aeufratim		3
aezer		15
aezerem		6
aezeru		12
afa		6
afam		3
afan		21
afana		6
afanova		30
afanovi		18
afanovu		9
afanuv		6
afarnaum		48
afat		12
afatova		6
afatu		3
afatuv		6
afe		3
afecky		3
afenat		3
afia		9
afiji		3
afiovi		3
afira		3
afiru		3
afis		6
afisem		3
afleta		3
afletejcu		3
afletovi		6
afon		3
aftorce		6
aftorci		3
aftoru		9
aftuchany		6
afu		9
afuuv		3
afy		9
agadan		3
agai		3
agar		30
agare		6
agarejci		3
agarmi		3
agaro		6
agaru		6
agau		3
agdalska		12
agdaly		24
agdiel		6
agea		3
agiel		12
agiela		3
agog		9
agoga		3
agogu		3
agon		6
agona		12
agonova		9
agonove		3
agonovi		6
agonuv		3
agor		3
agpias		3
agrejci		9
agrejsky		3
agriho		3
agur		3
aha		12
ahaba		3
ahada		3
ahadla		3
ahalal		6
ahalalel		9
ahalalela		6
ahalalelova		3
ahalalelovych		3
ahalcivy		3
ahali		3
ahalolu		3
ahama		3
ahanben		6
ahasu		9
ahat		3
ahazej		3
ahe		3
aheba		3
ahladim		6
ahladis		3
ahle		15
ahli		6
ahltal		3
ahnal		6
ahneme		3
ahnete		6
ahni		24
ahnou		3
ahodou		6
ahojim		3
ahore		3
ahorkatina		3
ahorku		3
ahorni		3
ahrada		3
ahradi		3
ahraj		9
ahrnovala		3
ahromadil		6
ahromadte		3
ahsa		6
ahse		3
ahsu		3
ahsy		6
ahube		3
ahuben		3
ahubil		9
ahubim		3
ahum		12
ahuma		3
ahynete		6
ahynu		3
ahynul		3
aia		6
aifas		12
aifase		9
aifasovi		6
aim		3
ain		36
aina		12
ainan		6
ainovi		6
ainovou		3
aiovi		3
air		12
aira		9
airos		6
airovy		9
airovymi		6
airsky		3
airu		3
airuv		3
aius		6
ajal		3
ajali		6
ajasa		3
ajasej		3
ajaty		3
ajde		6
ajdes-li		3
ajdi		3
ajdu		6
ajdu-li		3
ajed		3
ajedla		3
ajedli		3
ajednou		3
ajeli		3
ajemstvi		6
ajetek		6
aji		60
aji-li		3
ajima		3
ajime		3
ajin		3
ajina		3
ajine		3
ajis		6
ajise		3
ajisovu		3
ajiste		18
ajisti		3
ajite		3
ajne		3
ajny		3
ajordani		75
ajordanim		3
ajske		3
ajskeho		6
ajsky		6
ajskych		6
ajskymi		3
ajso		3
ajsti		3
ajzatu		3
aka		45
akacii		3
akaciim		3
akaciove		9
akacioveho		72
akajovych		6
akalu		3
akar		3
akara		3
akarjase		3
akasu		3
akat		3
akazal		3
akazuji		3
akbakar		3
akbanaj		3
akbeny		3
akbukjas		6
akbukovi		6
ake		594
akeda		3
akedonan		3
akedonce		3
akedonec		3
akedonie		36
akedonii		24
akedonsti		3
akedu		3
akedy		18
akeho		3
akeldama		3
akeova		3
akhelotu		6
akim		3
akima		3
akin		18
akina		6
akir		9
akira		39
akirova		6
akirovcu		3
akirovi		9
akis		12
akise		36
akisem		3
akisi		9
akiuv		3
akjbukjas		3
akkoli		3
aklad		3
akladam		3
akladas		3
akladejte		3
akladli		3
akladove		3
aklady		9
akli		3
aklinaji		3
akliname		3
aklon		15
aklonila		3
aklonim		3
aklonte		3
akmile		240
aknadbaj		3
ako		486
akob		375
akoba		156
akobe		48
akobem		33
akobova		54
akobove		12
akobovi		252
akobovo		3
akobovou		3
akobovu		36
akobovy		21
akobovych		15
akobovym		21
akobovymi		3
akobuv		117
akoby		3
akon		123
akona		99
akone		27
akonec		24
akonem		6
akonici		12
akonik		6
akonika		3
akonovu		3
akonu		15
akosove		6
akosoveho		39
akosovem		6
akosovemu		18
akosovym		3
akou		45
akoupak		3
akoupil		3
akova		12
akove		33
akoveho		6
akovemu		3
akovi		6
akovou		3
akovy		57
akovych		3
akovym		6
akoze		183
akpak		3
akpele		12
akratko		6
aksafskemu		3
aksafsky		3
aktak		3
akto		21
akub		36
akuba		48
akubem		3
akubova		15
akubovi		9
akubuv		24
akumu		3
akupte		6
akur		18
akura		6
akuruv		3
aky		90
akydam		3
akym		12
akypak		3
akysi		3
akze		9
al-ed		6
al-svedek		3
ala		24
alaam		3
alaama		3
alaamova		3
alabastrovou		9
alabastru		3
alac		3
alachias		9
alachiase		3
alacie		3
alacii		9
aladanuv		6
alafuv		3
alaj		3
alajova		3
alak		75
alaka		6
alakem		3
alakova		3
alakovi		30
alakovym		6
alakovymi		3
alaku		3
alal		6
alala		6
alaminy		3
alarnik		3
alas		3
alathiel		3
alatiel		3
alatiela		3
alatskym		18
alatsti		3
alcat		3
alce		3
alcharovu		6
alchos		3
alcil		3
aldejce		15
aldejci		45
aldejcu		57
aldejcum		27
aldejska		9
aldejske		9
aldejskeho		6
aldejskem		3
aldejsko		6
ale		4086
aleb		51
aleba		15
alebova		15
alebovec		3
alebovi		21
alebuv		6
alehal		3
alehali		3
alehave		3
alek		3
aleko		9
aleleel		3
aleluja		78
alem		9
alemu		9
alesne		3
alevej		3
alexandrijske		3
alez		3
aleze		3
alezitost		6
alezl		15
alezli		3
alezly		3
aleznes		3
aleznete		3
aleznu-li		3
alfona		3
algumimove		6
algumimoveho		3
ali		81
alibila		3
alibilo		3
alich		6
alici		3
alicke		3
alickou		3
alil		9
alilea		3
alilejci		3
alilejcich		3
alileje		99
alileji		54
alilejske		12
alilejskeho		9
alilejskemu		6
alilejsky		3
alilejskym		3
alilejsti		3
alileou		9
alileu		3
alim		3
alimu		3
alis		3
alisu		3
alitha		3
alka		18
alkama		3
alkiel		6
alkiela		3
alkijas		27
alkijase		9
alkijasova		9
alkijasuv		3
alkiram		3
alkisedek		3
alkisedekova		3
alkisua		3
alkisuu		12
alkol		6
alkou		3
alku		3
alky		3
allio		9
alm		111
alma		6
almacie		3
almaj		3
almaje		12
almajovi		6
alman		3
almaneser		6
almech		3
almon		24
almona		3
almone		3
almonovych		6
almony		6
almova		6
almove		6
almoveho		6
almovi		3
almu		12
almugimove		3
almugimoveho		6
almuna		12
almunou		3
almunova		6
almunu		12
almuny		3
almuznu		6
almuzny		6
almy		450
alne		6
alno		3
alo		3
alobci		3
aloe		12
aloha		3
alome		6
alomenou		6
alomocneho		6
alomocni		3
alomocny		3
alomoun		471
alomouna		105
alomoune		6
alomounem		15
alomounova		18
alomounove		27
alomounovi		159
alomounovo		9
alomounovu		33
alomounovy		15
alomounovych		30
alomounovymi		6
alomounuv		12
alon		3
aloti		6
aloz		24
alozi		6
alozil		9
alozili		3
alozim		6
alozis		9
alozpevech		3
alozte		3
als		18
alsi		18
alta		3
altejsky		3
alti		3
altiel		3
altiela		3
altimu		3
alu		18
alua		3
aludne		3
aluk		15
aluka		3
alukova		3
alum		42
aluma		21
alumova		3
